old_path,hit_count,category,proposed_destination,confidence,match_type,status,notes
/node/1930/high-rate-high-fee-loans-hoepasection-32-mortgages,128,node,/resources/loans,70,title_match,pending,"Title match: ""Loans"""
/taxonomy/term/2460,128,taxonomy,,0,no_match,no_match,"Old taxonomy term ID 2460 does not exist"
/node/1119/senior-services,126,node,/resources/legal-risk-detector,70,title_match,pending,"Title match: ""Senior Legal Risk Detector"""
/node/1172/idaho-lemon-law,126,node,/about-idaho-legal-aid-services,70,title_match,pending,"Title match: ""About Idaho Legal Aid Services"""
/node/1569/manufactured-homeowners,126,node,,0,no_match,no_match,"No matching content found"
"/sites/default/files/Boise County CPO Flowchart.pdf",126,files,/sites/default/files/2025-12/valley-county-cpo-flowchart.pdf,74,fuzzy_file,pending,"Matched words: county, cpo, flowchart"
/taxonomy/term/2456,126,taxonomy,,0,no_match,no_match,"Old taxonomy term ID 2456 does not exist"
/topics/2759/juvenile-expungement,126,topics,/resources/juvenile-guardianships,70,title_match,pending,"Title match: ""Juvenile Guardianships"""
/node/1074/interactive-forms-faqs,125,node,,0,no_match,no_match,"No matching content found"
/node/2271/healthy-housing-fair-housing-mold-bed-bugs-and-more,125,node,/topics/federal-fair-housing-act,75,fuzzy_alias,pending,"Matched 3/8 words: housing, fair, housing"
/topics/2768/covid-19,125,topics,,0,no_match,no_match,"No matching content found"
/node/1104/custody-forms-reminder,124,node,/resources/custody,70,title_match,pending,"Title match: ""Custody"""
"/sites/default/files/Divorce - No Minor Children - Court Process - Updated 2022.pdf",124,files,/sites/default/files/2025-12/divorce-no-minor-children-process.pdf,75,fuzzy_file,pending,"Matched words: divorce, minor, children, process"
/topics/2799/lgbtq,123,topics,,0,no_match,no_match,"No matching content found"
/files/Slamming.pdf,122,files,,0,no_match,no_match,"File not found"
/node/1877/payday-lending-basics,122,node,,0,no_match,no_match,"No matching content found"
/node/2251/employment-volunteer-internship-opportunities,122,node,/careers/employment-opportunities,70,title_match,pending,"Title match: ""Employment Opportunities"""
/node/2515/itla-street-law-clinic,122,node,,0,no_match,no_match,"No matching content found"
/simple.php,122,other,,0,unknown,no_match,"Unknown path format"
/topics/2420/debt-collectionrepossessiongarnishment,122,topics,/resources/debt-collection-and-garnishment,70,title_match,pending,"Title match: ""Debt Collection and Garnishment"""
/topics/2798/property,122,topics,/topics/property,95,exact_alias,pending,"Exact alias match found"
/topics/2508/supplemental-security-income-ssi,121,topics,/topics/supplemental-security-income,75,fuzzy_alias,pending,"Matched 3/4 words: supplemental, security, income"
/topics/housing/rental-housing/security-deposits,121,other,,0,unknown,no_match,"Unknown path format"
/node/2681/how-prepare-your-small-claims-trial-defendant,120,node,/resources/small-claims,70,fuzzy_alias,pending,"Matched 2/5 words: small, claims"
/sites/default/files/MethIsMyNeighbor07.06_Spanish.pdf,120,files,,0,no_match,no_match,"File not found"
/akcc.php,119,other,,0,unknown,no_match,"Unknown path format"
/goods.php,119,other,,0,unknown,no_match,"Unknown path format"
/node/1094/legal-help,119,node,/about-idaho-legal-aid-services,70,title_match,pending,"Title match: ""About Idaho Legal Aid Services"""
/node/1795/your-legal-rights-during-and-after-bankruptcy,119,node,/about-idaho-legal-aid-services,70,title_match,pending,"Title match: ""About Idaho Legal Aid Services"""
/SelfHelp,119,other,,0,unknown,no_match,"Unknown path format"
/lock360.php,118,other,,0,unknown,no_match,"Unknown path format"
/topics/2796/foreclosure-and-bankruptcy,118,topics,/resources/bankruptcy,70,title_match,pending,"Title match: ""Bankruptcy"""
/node/2176/native-american,116,node,,0,no_match,no_match,"No matching content found"
/node/2315/identity-theft-idaho,116,node,/resources/fraud-and-identity-theft,70,fuzzy_alias,pending,"Matched 2/3 words: identity, theft"
/files/cf_telemarketing_fraud.pdf,115,files,,0,no_match,no_match,"File not found"
/node/1878/alternatives-payday-loans,115,node,/resources/loans,70,title_match,pending,"Title match: ""Loans"""
